MaterialName, GlobalWarmingPotential,,, Acidification,,, DepletionOfNonrenewbles,,, DepletionOfOzoneLayer,,, Eutrophication,,, FormationTroposphericOzone,,
"Sash PVC-U; 3,1 kg/m",9.663,0,0,0.02826,0,0,172,0,0,0.00000011,0,0,0.002841,0,0,0.004876,0,0
"Window glass simple; 7,5kg/m2",9.646,0,0,0.08453,0,0,139.4,0,0,6.61E-08,0,0,0.009127,0,0,0.004808,0,0
Double glazing unit; double glass ,38.22,0,0,0.1602,0,0,447.4,0,0,2.64E-08,0,0,0.02991,0,0,0.01022,0,0
"EPDM gaskets aluminium profile, thermally insulated; 0,43 kg/m",1.375,0.4804,-0.03097,0.003992,0.0001182,-0.00005138,39.06,0.3443,-0.3105,3.54E-08,8.4E-11,-1.53E-10,0.0002646,0.0004902,-0.000004928,0.001353,0.000123,-0.000003784
"EPDM gaskets for aluminium profile; 0,18 kg/m",0.5756,0.2011,-0.01296,0.001671,0.00004949,-0.00002151,16.35,0.1441,-0.13,1.48E-08,3.5E-11,-6.4E-11,0.0001107,0.0002052,-0.000002063,0.0005664,0.0000515,-0.000001584
"Metal fitting for double casement windows; 1,014 kg/piece",5.193,0,0,0.01669,0,0,70.89,0,0,6.35E-08,0,0,0.001619,0,0,0.001797,0,0
"Aluminium window fitting combination (turn-tilt); 1,647 kg/piece",10.09,0,0,0.04579,0,0,120.9,0,0,0.000000128,0,0,0.002915,0,0,0.003264,0,0
"Metal fitting for horizontal sliding window; 0,696 kg/piece",4.957,0,0,0.01604,0,0,66.9,0,0,4.97E-08,0,0,0.001575,0,0,0.00176,0,0
"Metal fitting for vertical sliding window; 0,93 kg/piece",10.34,0,0,0.04654,0,0,117.1,0,0,4.69E-08,0,0,0.003098,0,0,0.003305,0,0
Fixing material screws stainless steel ,9.314,0,0,0.06936,0,0,109.5,0,0,2.46E-08,0,0,0.004139,0,0,0.004442,0,0
Fixing material screws galvanized,3.879,0,0,0.01153,0,0,46.51,0,0,2.42E-09,0,0,0.0009273,0,0,0.001571,0,0
Underfloor heating system copper (100mm distance) ,28.44,2.665,-6.251,0.1339,0.0002276,-0.03276,402,0.3854,-79.87,0.000000234,5.12E-10,-4.79E-08,0.03923,0.00004155,-0.002103,0.009635,0.00003353,-0.002187
Underfloor heating system copper (200mm distance),16.16,2.651,-3.952,0.07077,0.0002071,-0.01737,249.9,0.3406,-51,0.000000127,5.09E-10,-2.59E-08,0.01998,0.00003841,-0.001164,0.00536,0.00002822,-0.001196
Radiators,4.364,0,0,0.0132,0,0,60.52,0,0,-3.22E-09,0,0,0.001151,0,0,0.002435,0,0
Polybutadiene pipe (PB),5.035,2.929,-1.836,0.008199,0.0002074,-0.002209,117.6,0.3287,-24.58,2.44E-08,5.63E-10,-4.27E-09,0.0008742,0.0000392,-0.0002498,0.001408,0.00002546,-0.0002277
Polypropylene pipe (PP),3.271,2.929,-1.836,0.005798,0.0002074,-0.002209,87.86,0.3287,-24.58,8.33E-09,5.63E-10,-4.27E-09,0.0005193,0.0000392,-0.0002498,0.0008265,0.00002546,-0.0002277
Polyurethane rigid foam (PUR) ,7.273,2.263,-1.599,0.01107,0.0005885,-0.001921,136.3,1.181,-21.43,1.36E-08,6.5E-10,-3.71E-09,0.001705,0.00004475,-0.0002175,0.002685,0.00003607,-0.0001983
Steel pipe,2.279,0.006054,-1.323,0.008056,0.000008523,-0.004974,30.27,0.01867,-15.81,1.79E-09,1E-12,3.85E-10,0.0006721,0.000001306,-0.0004,0.001162,0.000002213,-0.0007547
Rock wool flat roof plate,1.353,0,0,0.007636,0,0,13.31,0,0,1.38E-09,0,0,0.0009047,0,0,0.0006471,0,0
Chimney stainless steel (single wall) ,8.919,0.006054,-1.323,0.06538,0.000008523,-0.004974,104.4,0.01867,-15.81,8.12E-09,1E-12,3.85E-10,0.00389,0.000001306,-0.0004,0.004229,0.000002213,-0.0007547
Brick chimney single-duct; 1 piece ,24.06,0,0,0.1105,0,0,217.8,0,0,1.76E-08,0,0,0.009034,0,0,0.006547,0,0
Brick chimney double-duct; 1 piece,47.93,0,0,0.22,0,0,434.3,0,0,3.52E-08,0,0,0.018,0,0,0.01305,0,0
Chimney polypropylene,2.751,2.263,-1.599,0.00499,0.0005885,-0.001921,87.64,1.181,-21.43,5.08E-09,6.5E-10,-3.71E-09,0.000441,0.00004475,-0.0002175,0.0008005,0.00003607,-0.0001983
Air ventilation duct (zinc coated steel plate) ,3.054,0.006054,-1.429,0.01021,0.000008523,-0.005372,40.21,0.01867,-17.07,4.04E-09,1E-12,4.16E-10,0.0008702,0.000001306,-0.000432,0.001469,0.000002213,-0.0008151
